,Dataset1,Dataset2,Transform,Effect.Batch,pvalue.Batch,Effect.Sex,pvalue.Sex
359,NYU1,IPCAS5,combat,-0.004470363894804627,0.493896383823595,0.023926414389082756,0.04982782354003092
360,SWU2,BNU2,raw,0.13449747014728314,3.1670255056041623e-06,0.0491805894555175,0.003410326278581675
361,SWU2,BNU2,ptr,-0.08422138512879714,1.0,0.028422443144675336,0.020403277191007145
362,SWU2,BNU2,zscore,-0.07546627711592298,1.0,0.029524124083590574,0.018515403655044758
363,SWU2,BNU2,combat,-0.027866225343161632,1.0,0.03677018900530215,0.009845665796466806
364,SWU2,BNU1,raw,0.20331214428081956,1.3143042309309727e-08,0.026415858365248922,0.02437089393489454
365,SWU2,BNU1,ptr,-0.09569873997384416,1.0,0.02349285418909349,0.03163996034759256
366,SWU2,BNU1,zscore,-0.08222634742049385,1.0,0.02493874296044939,0.027797763235633263
367,SWU2,BNU1,combat,-0.028311226087265932,1.0,0.025232256350369953,0.02707899306162184
368,SWU2,UWM,raw,0.4135033230338554,3.276476292696689e-11,0.0776078221645352,0.0025966469369075483
369,SWU2,UWM,ptr,-0.1323869784527833,1.0,0.051072683542108255,0.011995331070358215
370,SWU2,UWM,zscore,-0.11574116061116872,1.0,0.05831734266225529,0.007860415398678445
371,SWU2,UWM,combat,-0.051734007661582655,1.0,0.055174704125483046,0.009437142388606122
372,SWU2,NYU2,raw,0.2643402175194138,1.4401331774508251e-19,0.03528816181818331,0.0005928873202196991
373,SWU2,NYU2,ptr,-0.05206381624930611,1.0,0.02209292274151925,0.0053403116154914975
374,SWU2,NYU2,zscore,-0.04383877190890642,1.0,0.020739666141561832,0.006719950482937593
375,SWU2,NYU2,combat,-0.022742328531675755,1.0,0.024183202979509225,0.003752086025520392
376,SWU2,HNU1,raw,0.17275461309000206,3.17438518425553e-15,0.11576988790476288,9.209203331747208e-11
377,SWU2,HNU1,ptr,-0.03632403410044529,1.0,0.10397813278697816,7.805063761171518e-10
378,SWU2,HNU1,zscore,-0.03139003384013888,1.0,0.10534581830198765,6.089874994715453e-10
379,SWU2,HNU1,combat,-0.01609877899571836,1.0,0.11332909751824856,1.4327374429580713e-10
380,SWU2,IPCAS1,raw,0.10573570320657515,0.0003026583553502355,0.050160936873551304,0.009542604217793495
381,SWU2,IPCAS1,ptr,-0.12818783882882467,1.0,0.052844181018518684,0.008041374453292224
382,SWU2,IPCAS1,zscore,-0.11467711782137474,1.0,0.05635494814501435,0.006434298550174429
383,SWU2,IPCAS1,combat,-0.044899460492827434,1.0,0.051967849732597965,0.008503061125409559
384,SWU2,UPSM1,raw,0.29377445453906487,3.9767025111186364e-20,0.03154382324155651,0.0016011316409933582
385,SWU2,UPSM1,ptr,,,,
386,SWU2,UPSM1,zscore,,,,
387,SWU2,UPSM1,combat,-0.02390095656391734,1.0,0.03237303388445617,0.0014090280793279085
388,SWU2,IACAS,raw,0.35561886991950364,1.3848599649384667e-10,0.03457250565754088,0.026752812200589074
389,SWU2,IACAS,ptr,,,,
390,SWU2,IACAS,zscore,,,,
391,SWU2,IACAS,combat,-0.04886252457436052,1.0,0.030878452932128677,0.0341083356141978
392,SWU2,BNU3,raw,0.17309178463533417,1.5660621990912618e-05,0.015017584142104341,0.11157332932989572
393,SWU2,BNU3,ptr,-0.13881697904618012,1.0,0.024120483019321324,0.06285931722033046
394,SWU2,BNU3,zscore,-0.11602739556770024,1.0,0.01781364613077773,0.093271051680117
395,SWU2,BNU3,combat,-0.04128893756352616,1.0,0.016380570999395206,0.10220346652129492
396,SWU2,JHNU,raw,0.1456354530674518,2.7223859066498825e-05,0.05401283823516199,0.007465268839509677
397,SWU2,JHNU,ptr,,,,
398,SWU2,JHNU,zscore,,,,
399,SWU2,JHNU,combat,-0.03720524664402684,1.0,0.03766052009205411,0.02140762546516843
400,SWU2,Utah1,raw,0.387200745813834,8.927550229647907e-11,0.21472027902902943,1.0910709639665862e-06
401,SWU2,Utah1,ptr,-0.13199362311742882,1.0,-0.04189456650991848,1.0
402,SWU2,Utah1,zscore,-0.10882133310796671,1.0,-0.027724192468789752,1.0
403,SWU2,Utah1,combat,-0.045540064459871736,1.0,0.017332853861126627,0.09209985338549985
404,SWU2,IBATRT,raw,0.2850419242267883,3.0992616869847775e-08,0.04744159330879151,0.014852119639545112
405,SWU2,IBATRT,ptr,-0.12787605284112566,1.0,0.033473996061709074,0.03426773457808673
406,SWU2,IBATRT,zscore,-0.11484186494194226,1.0,0.03967896984848334,0.02356166421540945
407,SWU2,IBATRT,combat,-0.04560788659475672,1.0,0.03988104139014446,0.023278146551670466
408,SWU2,LMU3,raw,0.30681158989889296,9.660468248087642e-09,0.1054874393371472,0.0005404381828343892
409,SWU2,LMU3,ptr,-0.14294853848120598,1.0,0.04125052031622542,0.021447553594156666
410,SWU2,LMU3,zscore,-0.12438013247021548,1.0,0.05034162903132224,0.012521215530652989
